#BOOK=Genesis|BOOKCODE=gen|CHAPTER=31|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Genesis 31|KO=창세기 31장
V|N=1|EN=And he heard the words of Laban’s sons, saying, Jacob hath taken away all that was our father’s; and of that which was our father’s hath he gotten all this glory.|KO=라반의 아들들이 말하는 소리를 듣고 야곱이 우리 아버지의 것을 다 빼앗았고, 우리 아버지의 것에서 이 모든 영광을 얻었다고 하더라.
V|N=2|EN=And Jacob beheld the countenance of Laban, and, behold, it was not toward him as before.|KO=야곱이 라반의 얼굴을 보니, 그 얼굴이 예전과 같지 아니하더라.
V|N=3|EN=And the LORD said unto Jacob, Return unto the land of thy fathers, and to thy kindred; and I will be with thee.|KO=여호와께서 야곱에게 이르시되, 너는 너의 조상의 땅과 너의 친족에게로 돌아가라. 내가 너와 함께 하리라 하시니.
V|N=4|EN=And Jacob sent and called Rachel and Leah to the field unto his flock,|KO=야곱이 그의 양 떼를 위하여 들로 라헬과 레아를 부르니,
V|N=5|EN=And said unto them, I see your father’s countenance, that it is not toward me as before; but the God of my father hath been with me.|KO=그에게 이르되, 내가 너희 아버지의 얼굴을 보니, 그 얼굴이 예전과 같지 아니하나, 내 아버지의 하나님이 나와 함께 하셨느니라.
V|N=6|EN=And ye know that with all my power I have served your father.|KO=너희도 알거니와 내가 온 힘을 다하여 너희 아버지를 섬겼느니라.
V|N=7|EN=And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me.|KO=너희 아버지가 나를 속이고 내 품삯을 열 번이나 바꾸었으나, 하나님이 그를 해치지 못하게 하셨느니라.
V|N=8|EN=If he said thus, The speckled shall be thy wages; then all the cattle bare speckled: and if he said thus, The ringstraked shall be thy hire; then bare all the cattle ringstraked.|KO=그가 만일 이르기를, 점 있는 것이 너의 품삯이 되리라 하면, 모든 가축이 점 있는 것을 낳고, 만일 이르기를, 줄무늬 있는 것이 너의 품삯이 되리라 하면, 모든 가축이 줄무늬 있는 것을 낳았느니라.
V|N=9|EN=Thus God hath taken away the cattle of your father, and given them to me.|KO=하나님이 너희 아버지의 가축을 빼앗아 나에게 주셨느니라.
V|N=10|EN=And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and, behold, the rams which leaped upon the cattle were ringstraked, speckled, and grisled.|KO=그 가축이 임신할 때에 내가 눈을 들어 꿈에 보니, 뛰는 수양들이 줄무늬와 점과 얼룩이 있는 것이더라.
V|N=11|EN=And the angel of God spake unto me in a dream, saying, Jacob: And I said, Here am I.|KO=하나님의 사자가 꿈에 내게 이르되, 야곱아 하니, 내가 대답하되, 내가 여기 있나이다.
V|N=12|EN=And he said, Lift up now thine eyes, and see, all the rams which leap upon the cattle are ringstraked, speckled, and grisled: for I have seen all that Laban doeth unto thee.|KO=그가 이르되, 이제 눈을 들어 보라. 뛰는 수양들이 줄무늬와 점과 얼룩이 있는 것이니, 내가 라반이 너에게 행하는 모든 것을 보았음이니라.
V|N=13|EN=I am the God of Bethel, where thou anointedst the pillar, and where thou vowedst a vow unto me: now arise, get thee out from this land, and return unto the land of thy kindred.|KO=나는 베델의 하나님이라. 네가 기둥에 기름을 부은 곳이며, 네가 나에게 서원한 곳이라. 이제 일어나서 이 땅에서 나가고 너의 친족의 땅으로 돌아가라.
V|N=14|EN=And Rachel and Leah answered and said unto him, Is there yet any portion or inheritance for us in our father’s house?|KO=라헬과 레아가 그에게 대답하여 이르되, 우리 아버지의 집에 우리를 위한 분깃이나 유산이 더 있느냐?
V|N=15|EN=Are we not counted of him strangers? for he hath sold us, and hath quite devoured also our money.|KO=그가 우리를 외인처럼 여기지 아니하였나이까? 그는 우리를 팔았고, 우리의 돈도 다 삼켰나이다.
V|N=16|EN=For all the riches which God hath taken from our father, that is ours, and our children’s: now then, whatsoever God hath said unto thee, do.|KO=하나님이 우리 아버지에게서 빼앗으신 모든 재물은 우리와 우리 자녀의 것이니, 이제 하나님이 네게 말씀하신 대로 다 행하라.
V|N=17|EN=Then Jacob rose up, and set his sons and his wives upon camels;|KO=그때 야곱이 일어나 그의 아들들과 아내들을 낙타에 태우고,
V|N=18|EN=And he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padanaram, for to go to Isaac his father in the land of Canaan.|KO=그가 얻은 모든 가축과 재물을 가지고, 바단아람에서 얻은 가축을 가지고 그의 아버지 이삭에게 가려고 가나안 땅으로 가니라.
V|N=19|EN=And Laban went to shear his sheep: and Rachel had stolen the images that were her father’s.|KO=라반이 양털 깎으러 갔고, 라헬이 그의 아버지의 신상들을 도둑질하였더라.
V|N=20|EN=And Jacob stole away unawares to Laban the Syrian, in that he told him not that he fled.|KO=야곱이 라반 아람 사람에게 도망하는 것을 알리지 아니하고 도망하였더라.
V|N=21|EN=So he fled with all that he had; and he rose up, and passed over the river, and set his face toward the mount Gilead.|KO=그가 가진 모든 것을 가지고 도망하였고, 일어나 강을 건너 길르앗 산을 향하여 얼굴을 돌리니라.
V|N=22|EN=And it was told Laban on the third day that Jacob was fled.|KO=야곱이 도망한 지 사흘 만에 라반에게 전해지니,
V|N=23|EN=And he took his brethren with him, and pursued after him seven days’ journey; and they overtook him in the mount Gilead.|KO=그가 형제들을 데리고 그를 추격하여 칠 일 동안 쫓아가서 길르앗 산에서 그를 따라잡았더라.
V|N=24|EN=And God came to Laban the Syrian in a dream by night, and said unto him, Take heed that thou speak not to Jacob either good or bad.|KO=하나님이 밤에 꿈에 아람 사람 라반에게 이르시되, 너는 야곱에게 좋거나 나쁘게 말하지 말라 하시니라.
V|N=25|EN=Then Laban overtook Jacob. Now Jacob had pitched his tent in the mount: and Laban with his brethren pitched in the mount of Gilead.|KO=라반이 야곱을 따라잡았고, 야곱이 산에 장막을 치고, 라반이 그의 형제들과 함께 길르앗 산에 장막을 치니라.
V|N=26|EN=And Laban said to Jacob, What hast thou done, that thou hast stolen away unawares to me, and carried away my daughters, as captives taken with the sword?|KO=라반이 야곱에게 이르되, 네가 나를 속이고 내 딸들을 칼에 사로잡은 것이 무엇이냐?
V|N=27|EN=Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?|KO=어찌하여 너는 나에게 비밀리에 도망하여 나에게 알리지 아니하였느냐? 내가 너를 기쁘게 보내어 노래와 북과 수금으로 보내었으리라.
V|N=28|EN=And hast not suffered me to kiss my sons and my daughters? thou hast now done foolishly in so doing.|KO=내 아들들과 내 딸들에게 입맞추게 하지도 못하게 하였느냐? 너는 이 일을 행함에 어리석게 하였느니라.
V|N=29|EN=It is in the power of my hand to do you hurt: but the God of your father spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad.|KO=내 손에 너를 해칠 권세가 있으나, 너희 아버지의 하나님이 어젯밤에 내게 말씀하시기를, 너는 야곱에게 좋거나 나쁘게 말하지 말라 하셨느니라.
V|N=30|EN=And now, though thou wouldest needs be gone, because thou sore longedst after thy father’s house, yet wherefore hast thou stolen my gods?|KO=이제 너는 가고자 하여 내 아버지의 집을 몹시 그리워하였으나, 어찌하여 내 신들을 도둑질하였느냐?
V|N=31|EN=And Jacob answered and said to Laban, Because I was afraid: for I said, Peradventure thou wouldest take by force thy daughters from me.|KO=야곱이 라반에게 대답하여 이르되, 내가 두려워하였으니, 혹시 네가 내 딸들을 힘으로 빼앗을까 하여 그리하였나이다.
V|N=32|EN=With whomsoever thou findest thy gods, let him not live: before our brethren discern thou what is thine with me, and take it to thee. For Jacob knew not that Rachel had stolen them.|KO=너의 신들을 누구에게서 찾으면 그 사람은 죽임을 당할지니라. 우리 형제들 앞에서 네가 내게 있는 것 중에서 무엇이 네 것인지 분별하고 가져가라 하니, 야곱은 라헬이 그것을 도둑질한 줄을 알지 못하였더라.
V|N=33|EN=And Laban went into Jacob’s tent, and into Leah’s tent, and into the two maidservants’ tents; but he found them not. Then went he out of Leah’s tent, and entered into Rachel’s tent.|KO=라반이 야곱의 장막에 들어가고 레아의 장막에 들어가고 두 여종의 장막에 들어갔으나, 찾지 못하고 레아의 장막을 나와 라헬의 장막에 들어가니,
V|N=34|EN=Now Rachel had taken the images, and put them in the camel’s furniture, and sat upon them. And Laban searched all the tent, but found them not.|KO=라헬이 신상들을 가져다가 낙타의 가구 속에 두고 그 위에 앉았더라. 라반이 장막을 다 뒤졌으나 찾지 못하니라.
V|N=35|EN=And she said to her father, Let it not displease my lord that I cannot rise up before thee; for the custom of women is upon me. And he searched but found not the images.|KO=라헬이 아버지에게 이르되, 내 주여, 나를 괴롭게 하지 마소서. 내가 당신 앞에서 일어날 수 없는 것은 여자의 풍습이 내게 있음이니이다. 라반이 그 신상들을 찾지 못하였더라.
V|N=36|EN=And Jacob was wroth, and chode with Laban: and Jacob answered and said to Laban, What is my trespass? what is my sin, that thou hast so hotly pursued after me?|KO=야곱이 노하여 라반과 다투며 야곱이 라반에게 대답하여 이르되, 내 죄가 무엇이냐? 내가 무엇을 범하였기에 너는 나를 이렇게 쫓아오느냐?
V|N=37|EN=Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set it here before my brethren and thy brethren, that they may judge betwixt us both.|KO=내 물건을 다 뒤져보았으니, 네 집의 물건 중에서 무엇을 찾았느냐? 내 형제들과 네 형제들 앞에 놓고 판단하게 하라.
V|N=38|EN=This twenty years have I been with thee; thy ewes and thy she goats have not cast their young, and the rams of thy flock have I not eaten.|KO=내가 너와 함께한 이 이십 년 동안, 너의 암양과 암염소가 새끼를 낳지 아니하였고, 내가 너의 양 떼에서 먹은 것도 없었느니라.
V|N=39|EN=That which was torn of beasts I brought not unto thee; I bare the loss of it; of my hand didst thou require it, whether stolen by day, or stolen by night.|KO=짐승에게 찢긴 것은 내가 너에게 가져오지 아니하였고, 내가 그것의 손실을 감당하였으며, 낮에 도둑맞은 것이나 밤에 도둑맞은 것이나 네가 내게 요구하였느니라.
V|N=40|EN=Thus I was; in the day the drought consumed me, and the frost by night; and my sleep departed from mine eyes.|KO=내가 낮에는 더위에, 밤에는 추위에, 내 눈이 잠을 잃었느니라.
V|N=41|EN=Thus have I been twenty years in thy house; I served thee fourteen years for thy two daughters, and six years for thy cattle: and thou hast changed my wages ten times.|KO=내가 너의 집에서 이십 년을 지냈고, 너의 두 딸을 위하여 십사 년을 섬겼고, 너의 가축을 위하여 육 년을 섬겼으나, 너는 내 품삯을 열 번이나 바꾸었느니라.
