#BOOK=Proverbs|BOOKCODE=pro|CHAPTER=4|VERSION=KJV|LANGPAIR=EN-KO|ARCHAIC=INLINE_PARENS
T|EN=Proverbs 4|KO=
V|N=1|EN=Hear, ye children, the instruction of a father, and attend to know|KO=
V|N=2|EN=For I give you good doctrine, forsake ye not my law.|KO=
V|N=3|EN=For I was my father’s son, tender and only beloved in the sight of|KO=
V|N=4|EN=He taught me also, and said unto me, Let thine heart retain my|KO=
V|N=5|EN=Get wisdom, get understanding: forget it not; neither decline from|KO=
V|N=6|EN=Forsake her not, and she shall preserve thee: love her, and she|KO=
V|N=7|EN=Wisdom is the principal thing; therefore get wisdom: and with all|KO=
V|N=8|EN=Exalt her, and she shall promote thee: she shall bring thee to|KO=
V|N=9|EN=She shall give to thine head an ornament of grace: a crown of|KO=
V|N=10|EN=Hear, O my son, and receive my sayings; and the years of thy life|KO=
V|N=11|EN=I have taught thee in the way of wisdom; I have led thee in right|KO=
V|N=12|EN=When thou goest, thy steps shall not be straitened; and when thou|KO=
V|N=13|EN=Take fast hold of instruction; let her not go: keep her; for she|KO=
V|N=14|EN=Enter not into the path of the wicked, and go not in the way of|KO=
V|N=15|EN=Avoid it, pass not by it, turn from it, and pass away.|KO=
V|N=16|EN=For they sleep not, except they have done mischief; and their|KO=
V|N=17|EN=For they eat the bread of wickedness, and drink the wine of|KO=
V|N=18|EN=But the path of the just is as the shining light, that shineth|KO=
V|N=19|EN=The way of the wicked is as darkness: they know not at what they|KO=
V|N=20|EN=My son, attend to my words; incline thine ear unto my sayings.|KO=
V|N=21|EN=Let them not depart from thine eyes; keep them in the midst of|KO=
V|N=22|EN=For they are life unto those that find them, and health to all|KO=
V|N=23|EN=Keep thy heart with all diligence; for out of it are the issues|KO=
V|N=24|EN=Put away from thee a froward mouth, and perverse lips put far|KO=
V|N=25|EN=Let thine eyes look right on, and let thine eyelids look straight|KO=
V|N=26|EN=Ponder the path of thy feet, and let all thy ways be established.|KO=
V|N=27|EN=Turn not to the right hand nor to the left: remove thy foot from|KO=
